007 PRECIOUS METALS INC	00000#N/A
01 COMMUNIQUE LABORATORY INC	00000#N/A
1-800 CONTACTS INC	00000#N/A
1-800-FLOWERS.COM	00000#N/A
1347 PROPERTY INS HLDGS INC	001612411
1MAGE SOFTWARE INC	001404123
1PM INDUSTRIES INC	001496184
1ST INDEPENDENCE FINL GROUP	000946738
1ST NET TECHNOLOGIES INC	001062273
1ST SOURCE CORP	001034595
1ST UTD BANCORP	001415277
2 I INC	001460326
21ST CENTURY INS GROUP	001457278
21VIANET GROUP INC	001406859
22ND CENTURY GROUP INC	001422674
24/7 REAL MEDIA INC	001179485
2M ENERGY CORP	001094767
2U INC	001167814
3-DIMENSIONAL PHARMACEUTICAL	001003382
37 CAPITAL INC	000825171
3COM CORP	000738076
3D IMAGE TECHNOLOGY INC	001615148
3D LABS INC LTD	001337137
3D PIONEER SYSTEMS INC	001435396
3D SYSTEMS CORP	001023748
3DFX INTERACTIVE INC	001010026
3DICON CORP -OLD	001375195
3DO CO	000898441
3DX TECHNOLOGIES INC	000915518
3TEC ENERGY CORP	000903267
4-D NEUROIMAGING	000729330
4FRONT TECHNOLOGIES INC	000091649
58.COM INC  -ADR	001099641
5B TECHNOLOGIES CORP	001000179
5TH AVE CHANNEL CORP	001565622
6D GLOBAL TECHNOLOGIES	001523041
724 SOLUTIONS INC	001097641
800 JR CIGAR INC	001035507
800.COM INC	001039208
A & E CAPITAL FUNDING INC	001545654
A CLEAN SLATE INC -OLD	001568862
A D A M INC	001013535
A NOVO BROADBAND INC	000893139
A PLUS NETWORK INC	000908526
A V HOMES INC	001075849
A10 NETWORKS INC	001088038
A21 GROUP INC	001568744
AAIPHARMA INC	001013243
AAMES INVESTMENT CORP	001282552
AASTRA TECHNOLOGIES LTD	001200395
AB HOLDING GROUP INC	001504285
AB INTERNATIONAL GROUP CP	001605331
ABACAN RESOURCE CORP	001001084
ABACUS DIRECT CORP	001021080
ABATTIS BIOCEUTICALS CORP	001515768
ABAXIS INC	000881890
ABAZIAS INC	001096208
ABB AB	001096208
ABBOTT LABORATORIES	001213303
ABBVIE INC	001212835
ABBY INC	001616675
ABEONA THERAPEUTICS INC	001210071
ABERDEEN INTERNATIONAL INC	001501571
ABIGAIL ADAMS NATL BANCORP	000356809
ABILITY INC	001543146
ABIOMED INC	000815094
ABLE LABORATORIES INC	000857171
ABN-AMRO HOLDINGS NV	001052478
ABOUT.COM INC	001291948
ABOVE TECHNOLOGIES INC	001480325
ABOVENET COMMUNICATIONS INC	001026819
ABRAXAS PETROLEUM CORP/NV	000867665
ABSOLUTE ENTERTAINMENT INC	000898739
ABSOLUTE POTENTIAL INC	001284062
ABSOLUTE SOFTWARE CORP	001591939
ABVIVA INC	001084966
AC IMMUNE SA	001068802
ACACIA COMMUNICATIONS INC	001218213
ACACIA DIVERSIFIED HLDGS INC	001267255
